,SITE
% Above Low,0.2298
% Held by Institutions,1.0325
52-Wk Range,['97.36 - 253.80']
Annual Dividend $,
Annual Dividend %,
Ask,119.85
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,119.64
Bid Size,100.0
Day Change $,-3.7
Day Change %,-0.03
Day High,122.5
Day Low,119.67
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.98
Ex-dividend Date,No dividend
Historical Volatility,0.501
Last (size),2.0
Last (time),2:17p ET 11/28/22
Market Cap,5.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.65
Prev Close,123.43
Price,119.73
Shares Outstanding,45.1M
Short Interest,0.064
Today's Open,121.32
Volume Past Day,(Light)
