,DKS
Price/Earnings (TTM),10.96429
Price/Sales (TTM),0.83724
Price/Book (MRQ),4.12421
Price/Cash Flow (TTM),6.81681
5yr Low,13.46
5yr High,147.39
5yr Avg Return,0.32813333333333333
EPS Growth 5yr,0.40194620000000003
Revenue Growth 5yr,0.0918612
Dividend Growth 5yr,0.19510850000000002
Short Int Current Month,12367576.0
Short Int Prev Month,12532638.0
Short Int Pct of Float,0.2164399
Days to Cover,8.18035
Float,51.68889
Shares Outstanding,83.4115
Institutions Holding Shares,611.0
% Held by Institutions,1.003393
FCF Growth 5yr,0.332076566492721
