,DKS
Next Earnings Announcement,2023-03-07 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,-0.23541666666666672
Growth 1yr High Est,-0.2113303628262253
Growth 1yr Consensus Est,-0.223373514746446
Growth 2yr Low Est,-0.24032413714804723
Growth 2yr High Est,-0.05925678754709174
Growth 2yr Consensus Est,-0.1497904623475695
Growth 5yr Low Est,0.43493471493907354
Growth 5yr High Est,0.49970881843085924
Growth 5yr Consensus Est,0.4673217666849664
Growth 5yr Actual/Est,0.498832577829145
Growth 3yr Historic,0.5559740156225091
