,DKS
% Below High,0.0687
% Held by Institutions,1.0034
52-Wk Range,['63.45 - 130.67']
Annual Dividend $,1.95
Annual Dividend %,0.016
Ask,122.2
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,1.5
Bid,121.15
Bid Size,300.0
Closing Price,121.69
Day Change $,2.71
Day Change %,0.022799999999999997
Day High,122.17
Day Low,117.79
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",11.1
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.534
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,9.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",10.96
Prev Close,118.98
Shares Outstanding,83.4M
Short Interest,0.2164
Today's Open,118.41
Volume,1121102.0
Volume 10-day Avg,2599106.0
Volume Past Day,(Light)
