,SITM
% Above Low,0.3326
% Held by Institutions,0.7497
52-Wk Range,['73.10 - 341.77']
Annual Dividend $,
Annual Dividend %,
Ask,97.33
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,96.93
Bid Size,100.0
Day Change $,-1.59
Day Change %,-0.0161
Day High,99.34
Day Low,96.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.98
Ex-dividend Date,No dividend
Historical Volatility,0.9450000000000001
Last (size),100.0
Last (time),2:16p ET 11/28/22
Market Cap,2.1B
"P/E Ratio (TTM, GAAP)",49.9
Prev Close,99.0
Price,97.41
Shares Outstanding,21.4M
Short Interest,0.11689999999999999
Today's Open,97.64
Volume Past Day,(Light)
