,SITM
Price/Earnings (TTM),49.89844
Price/Sales (TTM),7.11042
Price/Book (MRQ),3.05593
Price/Cash Flow (TTM),37.69129
5yr Low,15.42
5yr High,341.77
5yr Avg Return,1.173375
Short Int Current Month,1897947.0
Short Int Prev Month,1883417.0
Short Int Pct of Float,0.1169042
Days to Cover,4.05117
Float,16.18717
Shares Outstanding,21.43949
Institutions Holding Shares,277.0
% Held by Institutions,0.749693
FCF Growth 5yr,-0.23052287581699346
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
