,VSEC
Price/Earnings (TTM),21.3369
Price/Sales (TTM),0.67454
Price/Book (MRQ),1.40173
Price/Cash Flow (TTM),11.2922
5yr Low,13.83
5yr High,65.42
5yr Avg Return,0.04053333333333334
EPS Growth 5yr,-0.2392276
Revenue Growth 5yr,0.0165205
Dividend Growth 5yr,0.099752
Short Int Current Month,90923.0
Short Int Prev Month,107887.0
Short Int Pct of Float,0.0073248
Days to Cover,2.25448
Float,12.41819
Shares Outstanding,12.79968
Institutions Holding Shares,131.0
% Held by Institutions,0.665969
FCF Growth 5yr,-0.20792498902256087
