,FISV
% Below High,0.0766
% Held by Institutions,0.9048
52-Wk Range,['87.03 - 110.99']
Annual Dividend $,
Annual Dividend %,
Ask,105.01
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,0.9
Bid,102.2
Bid Size,100.0
Closing Price,102.49
Day Change $,0.41
Day Change %,0.004
Day High,103.48
Day Low,101.87
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.18
Ex-dividend Date,No dividend
Historical Volatility,0.31
Last (size),20.0
Last (time),1:00p ET 11/25/22
Market Cap,65.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",32.19
Prev Close,102.08
Shares Outstanding,635.0M
Short Interest,0.0144
Today's Open,102.08
Volume,1446651.0
Volume 10-day Avg,3765839.0
Volume Past Day,(Light)
