,NAVI
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.009230769230769154
Growth 1yr High Est,0.04268292682926833
Growth 1yr Consensus Est,0.01672607879924959
Growth 2yr Low Est,-0.13970855231724794
Growth 2yr High Est,-0.022518185708172822
Growth 2yr Consensus Est,-0.08111336901271038
Growth 5yr Low Est,0.002566358762010973
Growth 5yr High Est,0.05905340714591359
Growth 5yr Consensus Est,0.03080988295396228
Growth 5yr Actual/Est,0.038678592327323874
Growth 3yr Historic,0.0629524886877828
