,AYI
Price/Earnings (TTM),17.13344
Price/Sales (TTM),1.53146
Price/Book (MRQ),3.24193
Price/Cash Flow (TTM),12.81365
5yr Low,67.46
5yr High,224.59
5yr Avg Return,0.07648333333333335
EPS Growth 5yr,0.0832919
Revenue Growth 5yr,0.027080000000000003
Dividend Growth 5yr,0.0
Short Int Current Month,1407241.0
Short Int Prev Month,1323107.0
Short Int Pct of Float,0.044040600000000006
Days to Cover,6.05137
Float,31.96219
Shares Outstanding,32.15839
Institutions Holding Shares,486.0
% Held by Institutions,0.991199
FCF Growth 5yr,0.5464964266450917
