,AYI
% Below High,0.1366
% Held by Institutions,0.9912000000000001
52-Wk Range,['142.71 - 220.97']
Annual Dividend $,0.52
Annual Dividend %,0.0027
Ask,195.9
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,1.5
Bid,179.29
Bid Size,500.0
Closing Price,190.78
Day Change $,0.14
Day Change %,0.0007000000000000001
Day High,192.38
Day Low,189.87
Dividend Pay Date,2022-11-01 00:00:00
"EPS (TTM, GAAP)",11.13
Ex-dividend,2022-10-14 00:00:00
Ex-dividend Date,10/14/22
Historical Volatility,0.36100000000000004
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,6.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.13
Prev Close,190.64
Shares Outstanding,32.2M
Short Interest,0.044000000000000004
Today's Open,191.75
Volume,67747.0
Volume 10-day Avg,195471.0
Volume Past Day,(Light)
