,AVAV
% Below High,0.1931
% Held by Institutions,0.8833
52-Wk Range,['52.03 - 114.11']
Annual Dividend $,
Annual Dividend %,
Ask,94.59
Ask Size,500.0
B/A Ratio,2.0
B/A Size,1000x500
Beta,0.5
Bid,92.02
Bid Size,1000.0
Closing Price,92.08
Day Change $,1.79
Day Change %,0.019799999999999998
Day High,93.8
Day Low,90.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.06
Ex-dividend Date,No dividend
Historical Volatility,0.637
Last (size),3.0
Last (time),12:59p ET 11/25/22
Market Cap,2.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",1631.47
Prev Close,90.29
Shares Outstanding,25.0M
Short Interest,0.044199999999999996
Today's Open,90.42
Volume,95028.0
Volume 10-day Avg,205944.0
Volume Past Day,(Light)
