,AVAV
Price/Earnings (TTM),1631.467
Price/Sales (TTM),5.07678
Price/Book (MRQ),3.83571
Price/Cash Flow (TTM),40.16752
5yr Low,41.6
5yr High,143.72
5yr Avg Return,0.16080000000000003
EPS Growth 5yr,
Revenue Growth 5yr,0.1384251
Dividend Growth 5yr,
Short Int Current Month,1089446.0
Short Int Prev Month,1097862.0
Short Int Pct of Float,0.044172399999999994
Days to Cover,6.29807
Float,24.66298
Shares Outstanding,24.9891
Institutions Holding Shares,336.0
% Held by Institutions,0.883342
FCF Growth 5yr,-0.031952332850096576
