,TCMD
% Above Low,0.3264
% Held by Institutions,0.7683
52-Wk Range,['6.28 - 21.99']
Annual Dividend $,
Annual Dividend %,
Ask,8.34
Ask Size,200.0
Ask close,10.32
B/A Ratio,1.0
B/A Size,200x200
Beta,1.4
Bid,8.33
Bid Size,200.0
Bid close,6.51
Change Since Close,0.00| |(0.00%)
Closing Price,8.33
Day Change $,-0.37
Day Change %,-0.0425
Day High,8.85
Day Low,8.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.5
Ex-dividend Date,No dividend
Historical Volatility,0.7490000000000001
Last (size),150.0
Last (time),4:00p ET 11/28/22
Last Trade,8.33
Market Cap,167.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,8.7
Short Interest,0.0381
Today's Open,8.51
Volume,86596.0
Volume 10-day Avg,132251.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.6804123711340206
Growth 2yr High Est,-1.0103092783505154
Growth 2yr Consensus Est,-0.845360824742268
Growth 5yr Low Est,-0.6804123711340206
Growth 5yr High Est,-1.0103092783505154
Growth 5yr Consensus Est,-0.845360824742268
Growth 5yr Actual/Est,4.416547005400099
Growth 3yr Historic,4.486607142857143
