,AA
% Above Low,0.4274
% Held by Institutions,0.7951
52-Wk Range,['33.55 - 98.09']
Annual Dividend $,0.4
Annual Dividend %,0.0084
Ask,47.89
Ask Size,1000.0
B/A Ratio,0.2
B/A Size,200x1000
Beta,2.4
Bid,47.62
Bid Size,200.0
Closing Price,47.89
Day Change $,-0.62
Day Change %,-0.0128
Day High,48.94
Day Low,47.61
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",-0.86
Ex-dividend,2022-10-31 00:00:00
Ex-dividend Date,10/31/22
Historical Volatility,0.6659999999999999
Last (size),115.0
Last (time),5:00p ET 11/25/22
Market Cap,8.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,48.51
Shares Outstanding,176.9M
Short Interest,0.0602
Today's Open,48.55
Volume,1687359.0
Volume 10-day Avg,6501612.0
Volume Past Day,(Light)
