,AA
Price/Earnings (TTM),
Price/Sales (TTM),0.64545
Price/Book (MRQ),1.57764
Price/Cash Flow (TTM),11.70376
5yr Low,5.16
5yr High,98.09
5yr Avg Return,0.16171666666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.054544699999999995
Dividend Growth 5yr,
Short Int Current Month,10557332.0
Short Int Prev Month,8646262.0
Short Int Pct of Float,0.0602214
Days to Cover,1.46924
Float,175.3547
Shares Outstanding,176.9372
Institutions Holding Shares,684.0
% Held by Institutions,0.795061
FCF Growth 5yr,-3.9283491778629283
