,UFPI
Price/Earnings (TTM),7.33109
Price/Sales (TTM),0.51667
Price/Book (MRQ),2.06278
Price/Cash Flow (TTM),6.06089
5yr Low,24.14
5yr High,94.8
5yr Avg Return,0.19911666666666666
EPS Growth 5yr,0.3902496
Revenue Growth 5yr,0.21658280000000002
Dividend Growth 5yr,0.1751764
Short Int Current Month,1645132.0
Short Int Prev Month,1724660.0
Short Int Pct of Float,0.027494200000000003
Days to Cover,7.28747
Float,59.89145
Shares Outstanding,61.63751
Institutions Holding Shares,440.0
% Held by Institutions,0.831006
FCF Growth 5yr,6.481827602976238
