,UFPI
% Below High,0.1536
% Held by Institutions,0.831
52-Wk Range,['64.13 - 94.80']
Annual Dividend $,1.0
Annual Dividend %,0.0123
Ask,80.85
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,79.84
Bid Size,100.0
Closing Price,80.24
Day Change $,-1.32
Day Change %,-0.016200000000000003
Day High,81.85
Day Low,79.64
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",11.13
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.395
Last (size),12100.0
Last (time),4:00p ET 11/28/22
Market Cap,4.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.33
Prev Close,81.56
Shares Outstanding,61.6M
Short Interest,0.0275
Today's Open,80.7
Volume,427912.0
Volume 10-day Avg,217834.0
Volume Past Day,(Heavy Day)
