,UFPI
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,2.6643356643356646
Growth 1yr High Est,2.7705479452054793
Growth 1yr Consensus Est,2.717441804770572
Growth 2yr Low Est,1.16327470239684
Growth 2yr High Est,1.2980805121122765
Growth 2yr Consensus Est,1.2306776072545582
Growth 5yr Low Est,0.58163735119842
Growth 5yr High Est,0.6490402560561382
Growth 5yr Consensus Est,0.6153388036272791
Growth 5yr Actual/Est,0.3788324946612125
Growth 3yr Historic,0.37643569514111186
