,MWA
Price/Earnings (TTM),24.00725
Price/Sales (TTM),1.45594
Price/Book (MRQ),2.71266
Price/Cash Flow (TTM),13.24682
5yr Low,6.64
5yr High,17.37
5yr Avg Return,0.01076666666666667
EPS Growth 5yr,0.0763411
Revenue Growth 5yr,0.08593830000000001
Dividend Growth 5yr,0.0911372
Short Int Current Month,2819507.0
Short Int Prev Month,3207444.0
Short Int Pct of Float,0.0183525
Days to Cover,2.45693
Float,153.6097
Shares Outstanding,155.8918
Institutions Holding Shares,317.0
% Held by Institutions,0.9505459999999999
FCF Growth 5yr,-1.6908770242103577
