,FWRG
% Above Low,0.35700000000000004
% Held by Institutions,0.9434
52-Wk Range,['11.57 - 21.49']
Annual Dividend $,
Annual Dividend %,
Ask,16.24
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,
Bid,15.0
Bid Size,100.0
Closing Price,15.7
Day Change $,0.69
Day Change %,0.046
Day High,16.07
Day Low,15.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.17
Ex-dividend Date,No dividend
Historical Volatility,0.534
Last (size),20.0
Last (time),1:00p ET 11/25/22
Market Cap,929.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,15.01
Shares Outstanding,59.2M
Short Interest,0.0451
Today's Open,15.1
Volume,344640.0
Volume 10-day Avg,195955.0
Volume Past Day,(Heavy Day)
