,NWL
% Above Low,0.0902
% Held by Institutions,0.9349
52-Wk Range,['12.25 - 26.45']
Annual Dividend $,0.92
Annual Dividend %,0.0689
Ask,13.32
Ask Size,200.0
Ask close,14.17
B/A Ratio,5.0
B/A Size,1000x200
Beta,0.9
Bid,13.25
Bid Size,1000.0
Bid close,12.5
Change Since Close,0.00| |(0.00%)
Closing Price,13.35
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",1.34
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.425
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,13.35
Market Cap,5.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",9.96
Prev Close,13.35
Shares Outstanding,413.6M
Short Interest,0.0506
Today's Open,
Volume,1518.0
Volume 10-day Avg,3753134.0
Volume Past Day,(Light)
