,AKYA
Price/Earnings (TTM),
Price/Sales (TTM),6.98234
Price/Book (MRQ),6.48906
Price/Cash Flow (TTM),
5yr Low,8.02
5yr High,28.96
5yr Avg Return,-0.28625
Short Int Current Month,1661998.0
Short Int Prev Month,1805395.0
Short Int Pct of Float,0.0949911
Days to Cover,17.76075
Float,33.14689
Shares Outstanding,37.95586
Institutions Holding Shares,90.0
% Held by Institutions,0.797144
FCF Growth 5yr,0.23879368064955794
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
