,AKYA
% Below High,0.22510000000000002
% Held by Institutions,0.7970999999999999
52-Wk Range,['8.02 - 16.57']
Annual Dividend $,
Annual Dividend %,
Ask,18.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,12.2
Bid Size,100.0
Closing Price,12.84
Day Change $,0.12
Day Change %,0.009399999999999999
Day High,13.03
Day Low,12.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.84
Ex-dividend Date,No dividend
Historical Volatility,0.742
Last (size),7.0
Last (time),1:00p ET 11/25/22
Market Cap,487.4M
"P/E Ratio (TTM, GAAP)",
Prev Close,12.72
Shares Outstanding,38.0M
Short Interest,0.095
Today's Open,12.72
Volume,12523.0
Volume 10-day Avg,71765.0
Volume Past Day,(Light)
