,LECO
Price/Earnings (TTM),20.08403
Price/Sales (TTM),2.34047
Price/Book (MRQ),9.30423
Price/Cash Flow (TTM),16.63196
5yr Low,59.3
5yr High,150.68
5yr Avg Return,0.09753333333333333
EPS Growth 5yr,0.09597699999999999
Revenue Growth 5yr,0.0729298
Dividend Growth 5yr,0.0977009
Short Int Current Month,1910569.0
Short Int Prev Month,2049079.0
Short Int Pct of Float,0.033915
Days to Cover,6.29527
Float,56.40427
Shares Outstanding,57.7384
Institutions Holding Shares,510.0
% Held by Institutions,0.7267319999999999
FCF Growth 5yr,1.1685178587008054
