,LECO
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.32352941176470584
Growth 1yr High Est,0.3237639553429028
Growth 1yr Consensus Est,0.3236466835538043
Growth 2yr Low Est,0.14571532316630353
Growth 2yr High Est,0.22152053188831877
Growth 2yr Consensus Est,0.18361792752731115
Growth 5yr Low Est,0.1606060059540127
Growth 5yr High Est,0.18937661814541723
Growth 5yr Consensus Est,0.17499131204971496
Growth 5yr Actual/Est,0.18691571350335753
Growth 3yr Historic,0.09544347603178668
