,LECO
% Below High,0.0115
% Held by Institutions,0.7267
52-Wk Range,['118.17 - 150.68']
Annual Dividend $,2.56
Annual Dividend %,0.0172
Ask,
Ask Size,
Ask close,159.34
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,
Bid Size,
Bid close,139.4
Change Since Close,-4.45| |(-2.99%)
Closing Price,148.95
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-13 00:00:00
"EPS (TTM, GAAP)",7.42
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.24300000000000002
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,144.5
Market Cap,8.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.08
Prev Close,148.95
Shares Outstanding,57.7M
Short Interest,0.0339
Today's Open,
Volume,1.0
Volume 10-day Avg,332029.0
Volume Past Day,(Light)
