,LSXMK
% Below High,0.17149999999999999
% Held by Institutions,
52-Wk Range,['34.34 - 52.43']
Annual Dividend $,
Annual Dividend %,
Ask,43.41
Ask Size,100.0
B/A Ratio,13.0
B/A Size,1300x100
Beta,
Bid,39.65
Bid Size,1300.0
Closing Price,43.44
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.259
Last (size),95.0
Last (time),1:00p ET 11/25/22
Market Cap,14.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",--x
Prev Close,43.44
Shares Outstanding,326.5M
Short Interest,
Today's Open,
Volume,133461.0
Volume 10-day Avg,1100574.0
Volume Past Day,(Light)
