,VFC
Price/Earnings (TTM),31.90916
Price/Sales (TTM),1.13163
Price/Book (MRQ),4.32438
Price/Cash Flow (TTM),19.42669
5yr Low,26.46
5yr High,100.25
5yr Avg Return,-0.07948333333333334
Short Int Current Month,20729029.0
Short Int Prev Month,22911297.0
Short Int Pct of Float,0.053536400000000005
Days to Cover,3.46311
Float,387.266
Shares Outstanding,388.5661
Institutions Holding Shares,1028.0
% Held by Institutions,0.8600669999999999
FCF Growth 5yr,-0.12752746547832006
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
