,VFC
% Above Low,0.2249
% Held by Institutions,0.8601000000000001
52-Wk Range,['26.46 - 78.17']
Annual Dividend $,2.04
Annual Dividend %,0.0594
Ask,34.17
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,32.41
Bid Size,100.0
Closing Price,32.41
Day Change $,-1.93
Day Change %,-0.0562
Day High,34.44
Day Low,32.34
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",1.08
Ex-dividend,2022-12-09 00:00:00
Ex-dividend Date,12/09/22
Historical Volatility,0.42200000000000004
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,12.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",31.91
Prev Close,34.34
Shares Outstanding,388.6M
Short Interest,0.0535
Today's Open,34.23
Volume,5306559.0
Volume 10-day Avg,5210694.0
Volume Past Day,(Average)
