,PRCT
% Below High,0.1423
% Held by Institutions,0.7047
52-Wk Range,['15.38 - 52.40']
Annual Dividend $,
Annual Dividend %,
Ask,45.11
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,
Bid,44.84
Bid Size,200.0
Day Change $,-0.555
Day Change %,-0.012199999999999999
Day High,45.9
Day Low,45.1
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.56
Ex-dividend Date,No dividend
Historical Volatility,0.777
Last (size),1.0
Last (time),11:24a ET 11/28/22
Market Cap,2.0B
"P/E Ratio (TTM, GAAP)",
Prev Close,45.5
Price,44.95
Shares Outstanding,44.7M
Short Interest,0.0705
Today's Open,45.1
Volume Past Day,(Light)
