,PRCT
Price/Earnings (TTM),
Price/Sales (TTM),40.94583
Price/Book (MRQ),8.47233
Price/Cash Flow (TTM),
5yr Low,15.38
5yr High,52.4
5yr Avg Return,0.25195000000000006
Short Int Current Month,3011834.0
Short Int Prev Month,2674490.0
Short Int Pct of Float,0.0705059
Days to Cover,8.63616
Float,42.98118
Shares Outstanding,44.72005
Institutions Holding Shares,147.0
% Held by Institutions,0.704675
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
