,EVLV
% Below High,0.3675
% Held by Institutions,0.5331
52-Wk Range,['1.57 - 6.15']
Annual Dividend $,
Annual Dividend %,
Ask,3.9
Ask Size,700.0
B/A Ratio,5.0
B/A Size,3500x700
Beta,
Bid,3.76
Bid Size,3500.0
Closing Price,3.89
Day Change $,0.09
Day Change %,0.023700000000000002
Day High,3.9
Day Low,3.77
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.39
Ex-dividend Date,No dividend
Historical Volatility,1.103
Last (size),3.0
Last (time),1:00p ET 11/25/22
Market Cap,562.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,3.8
Shares Outstanding,144.6M
Short Interest,0.0313
Today's Open,3.83
Volume,402426.0
Volume 10-day Avg,1072369.0
Volume Past Day,(Light)
