,EVLV
Price/Earnings (TTM),
Price/Sales (TTM),13.66959
Price/Book (MRQ),2.26205
Price/Cash Flow (TTM),
5yr Low,1.57
5yr High,12.9
5yr Avg Return,-0.2259
Short Int Current Month,3267701.0
Short Int Prev Month,3935497.0
Short Int Pct of Float,0.031266600000000005
Days to Cover,3.62972
Float,104.5419
Shares Outstanding,144.6236
Institutions Holding Shares,143.0
% Held by Institutions,0.533054
FCF Growth 5yr,0.2066988158669937
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
