,COO
% Above Low,0.2873
% Held by Institutions,0.9848
52-Wk Range,['244.22 - 430.67']
Annual Dividend $,0.06
Annual Dividend %,0.0002
Ask,315.24
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,
Bid Size,
Closing Price,314.38
Day Change $,1.28
Day Change %,0.0040999999999999995
Day High,315.7
Day Low,309.26
Dividend Pay Date,2022-08-11 00:00:00
"EPS (TTM, GAAP)",8.64
Ex-dividend,2022-07-26 00:00:00
Ex-dividend Date,07/26/22
Historical Volatility,0.337
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,15.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",36.38
Prev Close,313.1
Shares Outstanding,49.3M
Short Interest,0.025699999999999997
Today's Open,315.01
Volume,119366.0
Volume 10-day Avg,343696.0
Volume Past Day,(Light)
