,COO
Price/Earnings (TTM),36.37575
Price/Sales (TTM),4.81857
Price/Book (MRQ),2.18822
Price/Cash Flow (TTM),20.27629
5yr Low,216.47
5yr High,463.59
5yr Avg Return,0.05721666666666667
EPS Growth 5yr,0.6029641
Revenue Growth 5yr,0.0824261
Dividend Growth 5yr,0.0
Short Int Current Month,1263379.0
Short Int Prev Month,1075967.0
Short Int Pct of Float,0.025746500000000002
Days to Cover,3.19387
Float,49.07275
Shares Outstanding,49.34598
Institutions Holding Shares,820.0
% Held by Institutions,0.984809
FCF Growth 5yr,0.37385249397730186
