,WTS
% Above Low,0.3075
% Held by Institutions,0.9541
52-Wk Range,['116.31 - 201.00']
Annual Dividend $,1.2
Annual Dividend %,0.0077
Ask,242.73
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,60.69
Bid Size,100.0
Closing Price,152.08
Day Change $,-3.98
Day Change %,-0.0255
Day High,157.99
Day Low,151.4
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",6.62
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.35600000000000004
Last (size),4400.0
Last (time),7:00p ET 11/28/22
Market Cap,5.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",23.57
Prev Close,156.06
Shares Outstanding,33.3M
Short Interest,0.0218
Today's Open,155.0
Volume,78790.0
Volume 10-day Avg,99688.0
Volume Past Day,(Light)
