,CME
Price/Earnings (TTM),23.87169
Price/Sales (TTM),12.69472
Price/Book (MRQ),2.22309
Price/Cash Flow (TTM),20.90036
5yr Low,131.8
5yr High,256.94
5yr Avg Return,0.05098333333333334
EPS Growth 5yr,0.10007640000000001
Revenue Growth 5yr,0.054591799999999996
Dividend Growth 5yr,0.0844718
Short Int Current Month,3700280.0
Short Int Prev Month,3949615.0
Short Int Pct of Float,0.0103373
Days to Cover,1.77764
Float,358.0966
Shares Outstanding,359.725
Institutions Holding Shares,1572.0
% Held by Institutions,0.8608530000000001
FCF Growth 5yr,0.19168353044701644
