,MTDR
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,1.6863753213367607
Growth 1yr High Est,1.6518691588785046
Growth 1yr Consensus Est,1.6691222401076327
Growth 2yr Low Est,0.7092163688023516
Growth 2yr High Est,0.8655821565317633
Growth 2yr Consensus Est,0.7873992626670574
Growth 5yr Low Est,0.7092163688023516
Growth 5yr High Est,0.8655821565317633
Growth 5yr Consensus Est,0.7873992626670575
Growth 5yr Actual/Est,1.9367176336704763
Growth 3yr Historic,1.5800925925925926
