,MTDR
% Below High,0.0981
% Held by Institutions,0.8878
52-Wk Range,['33.49 - 73.78']
Annual Dividend $,0.4
Annual Dividend %,0.006
Ask,65.21
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,3.6
Bid,58.81
Bid Size,200.0
Closing Price,66.54
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",9.8
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.6020000000000001
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,7.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.79
Prev Close,66.54
Shares Outstanding,118.2M
Short Interest,0.0751
Today's Open,
Volume,237072.0
Volume 10-day Avg,810814.0
Volume Past Day,(Light)
