,MTDR
Price/Earnings (TTM),6.79113
Price/Sales (TTM),2.69548
Price/Book (MRQ),2.75013
Price/Cash Flow (TTM),4.70824
5yr Low,1.11
5yr High,73.78
5yr Avg Return,0.3766833333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.4445013
Dividend Growth 5yr,
Short Int Current Month,8319937.0
Short Int Prev Month,8628744.0
Short Int Pct of Float,0.0750951
Days to Cover,6.90848
Float,111.1208
Shares Outstanding,118.1615
Institutions Holding Shares,473.0
% Held by Institutions,0.887804
FCF Growth 5yr,1.3274241534504123
