,ELAN
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.05102040816326525
Growth 1yr High Est,-0.06896551724137923
Growth 1yr Consensus Est,-0.008972554539056987
Growth 2yr Low Est,-0.052159698830988754
Growth 2yr High Est,0.03959131545338446
Growth 2yr Consensus Est,-0.006284191688802149
Growth 5yr Low Est,-0.040502926338571305
Growth 5yr High Est,0.03585070359825182
Growth 5yr Consensus Est,-0.002326111370159742
Growth 5yr Actual/Est,0.17174064728259836
Growth 3yr Historic,0.16935969490164599
