,BRKR
% Below High,0.2113
% Held by Institutions,0.7195999999999999
52-Wk Range,['48.42 - 87.22']
Annual Dividend $,0.2
Annual Dividend %,0.0029
Ask,69.21
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,68.37
Bid Size,100.0
Closing Price,68.79
Day Change $,0.35
Day Change %,0.0051
Day High,69.04
Day Low,67.96
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",1.83
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.399
Last (size),5.0
Last (time),12:59p ET 11/25/22
Market Cap,10.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",37.67
Prev Close,68.44
Shares Outstanding,147.1M
Short Interest,0.0292
Today's Open,68.58
Volume,158063.0
Volume 10-day Avg,602457.0
Volume Past Day,(Light)
