,CLF
% Above Low,0.32770000000000005
% Held by Institutions,0.6491
52-Wk Range,['11.83 - 34.04']
Annual Dividend $,
Annual Dividend %,
Ask,15.65
Ask Size,7400.0
B/A Ratio,0.14864864864864866
B/A Size,1100x7400
Beta,2.2
Bid,15.54
Bid Size,1100.0
Closing Price,15.7
Day Change $,-0.2
Day Change %,-0.0126
Day High,16.09
Day Low,15.61
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.61
Ex-dividend Date,No dividend
Historical Volatility,0.625
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,8.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",3.41
Prev Close,15.9
Shares Outstanding,515.3M
Short Interest,0.08839999999999999
Today's Open,15.77
Volume,4982019.0
Volume 10-day Avg,11653040.0
Volume Past Day,(Light)
