,CLF
Price/Earnings (TTM),3.40737
Price/Sales (TTM),0.34736
Price/Book (MRQ),1.15442
Price/Cash Flow (TTM),2.28409
5yr Low,2.63
5yr High,34.04
5yr Avg Return,0.20036666666666667
EPS Growth 5yr,0.6151715
Revenue Growth 5yr,0.6741526
Dividend Growth 5yr,
Short Int Current Month,44887134.0
Short Int Prev Month,46289230.0
Short Int Pct of Float,0.0884061
Days to Cover,3.00904
Float,508.2767
Shares Outstanding,515.3025
Institutions Holding Shares,739.0
% Held by Institutions,0.649105
FCF Growth 5yr,0.5279263374021439
