,CLF
Next Earnings Announcement,2023-02-10 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,1.603960396039604
Growth 1yr High Est,1.891472868217054
Growth 1yr Consensus Est,1.747716632128329
Growth 2yr Low Est,0.4065429356623876
Growth 2yr High Est,0.7942619032774278
Growth 2yr Consensus Est,0.6004024194699077
Growth 5yr Low Est,0.2032714678311938
Growth 5yr High Est,0.3971309516387139
Growth 5yr Consensus Est,0.30020120973495384
Growth 5yr Actual/Est,-3.77437505927207
Growth 3yr Historic,-3.522567287784679
