,XRAY
Price/Earnings (TTM),
Price/Sales (TTM),1.6884
Price/Book (MRQ),1.87242
Price/Cash Flow (TTM),
5yr Low,26.48
5yr High,69.54
5yr Avg Return,-0.06956666666666667
EPS Growth 5yr,-0.0076939
Revenue Growth 5yr,0.024687100000000003
Dividend Growth 5yr,0.0676314
Short Int Current Month,11289280.0
Short Int Prev Month,11611235.0
Short Int Pct of Float,0.053007900000000004
Days to Cover,3.19572
Float,213.6826
Shares Outstanding,214.9119
Institutions Holding Shares,711.0
% Held by Institutions,0.9850140000000001
FCF Growth 5yr,0.722000313161154
