,XRAY
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.31690140845070425
Growth 1yr High Est,-0.32191780821917804
Growth 1yr Consensus Est,-0.31940960833494114
Growth 2yr Low Est,-0.2203063743284449
Growth 2yr High Est,-0.14580738895807388
Growth 2yr Consensus Est,-0.1830568816432594
Growth 5yr Low Est,-0.06916958060684542
Growth 5yr High Est,-0.028548855769359505
Growth 5yr Consensus Est,-0.04885921818810246
Growth 5yr Actual/Est,-0.008532344672437714
Growth 3yr Historic,0.08349105005130544
