,ACT
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.3021806853582554
Growth 1yr High Est,0.33939393939393936
Growth 1yr Consensus Est,0.32078731237609737
Growth 2yr Low Est,0.020707567559510476
Growth 2yr High Est,0.07128068010420946
Growth 2yr Consensus Est,0.04599412383185997
Growth 5yr Low Est,0.020707567559510476
Growth 5yr High Est,0.07128068010420946
Growth 5yr Consensus Est,0.04599412383185997
Growth 5yr Actual/Est,0.01832064793130367
Growth 3yr Historic,0.0
