,ACT
Price/Earnings (TTM),5.60457
Price/Sales (TTM),3.6597
Price/Book (MRQ),0.96986
Price/Cash Flow (TTM),
5yr Low,18.76
5yr High,28.37
5yr Avg Return,0.10815000000000001
Short Int Current Month,1479224.0
Short Int Prev Month,1851186.0
Short Int Pct of Float,0.0496609
Days to Cover,7.569
Float,29.79148
Shares Outstanding,162.8426
Institutions Holding Shares,132.0
% Held by Institutions,0.20322199999999999
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
