,ACT
% Below High,0.13570000000000002
% Held by Institutions,0.2032
52-Wk Range,['18.76 - 28.37']
Annual Dividend $,0.56
Annual Dividend %,0.022799999999999997
Ask,25.95
Ask Size,500.0
B/A Ratio,0.6
B/A Size,300x500
Beta,
Bid,23.57
Bid Size,300.0
Closing Price,24.52
Day Change $,-0.11
Day Change %,-0.0045000000000000005
Day High,24.9
Day Low,24.44
Dividend Pay Date,2022-12-06 00:00:00
"EPS (TTM, GAAP)",4.38
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.332
Last (size),14.0
Last (time),1:00p ET 11/25/22
Market Cap,4.0B
"P/E Ratio (TTM, GAAP)",5.6
Prev Close,24.63
Shares Outstanding,162.8M
Short Interest,0.049699999999999994
Today's Open,24.8
Volume,74272.0
Volume 10-day Avg,146936.0
Volume Past Day,(Light)
