,TVTX
% Above Low,0.0085
% Held by Institutions,1.0756999999999999
52-Wk Range,['18.85 - 31.65']
Annual Dividend $,
Annual Dividend %,
Ask,19.01
Ask Size,4900.0
B/A Ratio,0.02040816326530612
B/A Size,100x4900
Beta,0.5
Bid,17.05
Bid Size,100.0
Closing Price,19.01
Day Change $,-0.48
Day Change %,-0.0246
Day High,19.64
Day Low,18.85
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.18
Ex-dividend Date,No dividend
Historical Volatility,0.545
Last (size),208500.0
Last (time),3:59p ET 11/28/22
Market Cap,1.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,19.49
Shares Outstanding,64.2M
Short Interest,0.1226
Today's Open,19.39
Volume,1025366.0
Volume 10-day Avg,641549.0
Volume Past Day,(Heavy Day)
