,TVTX
Price/Earnings (TTM),
Price/Sales (TTM),5.86105
Price/Book (MRQ),12.41898
Price/Cash Flow (TTM),
5yr Low,8.98
5yr High,33.09
5yr Avg Return,0.05536666666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.1123386
Dividend Growth 5yr,
Short Int Current Month,7765527.0
Short Int Prev Month,7856871.0
Short Int Pct of Float,0.1226062
Days to Cover,10.09458
Float,63.3318
Shares Outstanding,64.17357
Institutions Holding Shares,246.0
% Held by Institutions,1.075691
FCF Growth 5yr,0.5952175556896429
