,KNSL
Price/Earnings (TTM),51.25624
Price/Sales (TTM),9.4573
Price/Book (MRQ),11.51416
Price/Cash Flow (TTM),
5yr Low,41.49
5yr High,334.99
5yr Avg Return,0.4282833333333334
EPS Growth 5yr,0.3961381
Revenue Growth 5yr,0.3516664
Dividend Growth 5yr,0.3449017
Short Int Current Month,691055.0
Short Int Prev Month,708971.0
Short Int Pct of Float,0.0317124
Days to Cover,3.39451
Float,21.79039
Shares Outstanding,23.08023
Institutions Holding Shares,445.0
% Held by Institutions,0.8583369999999999
FCF Growth 5yr,0.4075902624419747
