,KNSL
% Below High,0.0712
% Held by Institutions,0.8583
52-Wk Range,['180.05 - 334.99']
Annual Dividend $,0.52
Annual Dividend %,0.0017000000000000001
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,240.0
Bid Size,
Closing Price,311.13
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-13 00:00:00
"EPS (TTM, GAAP)",6.07
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.405
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,7.2B
"P/E Ratio (TTM, GAAP)",51.26
Prev Close,311.13
Shares Outstanding,23.1M
Short Interest,0.0317
Today's Open,
Volume,59280.0
Volume 10-day Avg,178028.0
Volume Past Day,(Light)
