,KNSL
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,1.9583333333333335
Growth 1yr High Est,2.081632653061224
Growth 1yr Consensus Est,2.019982993197279
Growth 2yr Low Est,1.056631455399061
Growth 2yr High Est,1.1699553993782943
Growth 2yr Consensus Est,1.1132934273886776
Growth 5yr Low Est,0.5283157276995305
Growth 5yr High Est,0.5849776996891471
Growth 5yr Consensus Est,0.5566467136943388
Growth 5yr Actual/Est,0.40013422777936913
Growth 3yr Historic,0.28191475392615156
