,BFAM
% Above Low,0.3329
% Held by Institutions,1.0185
52-Wk Range,['54.19 - 140.02']
Annual Dividend $,
Annual Dividend %,
Ask,72.66
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,
Bid Size,
Closing Price,72.23
Day Change $,-0.26
Day Change %,-0.0036
Day High,72.89
Day Low,71.93
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.36
Ex-dividend Date,No dividend
Historical Volatility,0.413
Last (size),16.0
Last (time),5:00p ET 11/25/22
Market Cap,4.2B
"P/E Ratio (TTM, GAAP)",53.28
Prev Close,72.49
Shares Outstanding,57.8M
Short Interest,0.0172
Today's Open,72.25
Volume,133521.0
Volume 10-day Avg,536983.0
Volume Past Day,(Light)
