,BFAM
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.2864583333333335
Growth 1yr High Est,0.26442307692307687
Growth 1yr Consensus Est,0.2754407051282052
Growth 2yr Low Est,0.1796664136302294
Growth 2yr High Est,0.2805005118455689
Growth 2yr Consensus Est,0.23008346273789915
Growth 5yr Low Est,-0.027202804265217706
Growth 5yr High Est,0.0331073987799273
Growth 5yr Consensus Est,0.0029522972573547968
Growth 5yr Actual/Est,0.05212350761331494
Growth 3yr Historic,-0.07344642700184581
