,AVDX
Price/Earnings (TTM),
Price/Sales (TTM),5.70686
Price/Book (MRQ),2.53889
Price/Cash Flow (TTM),
5yr Low,5.86
5yr High,27.44
5yr Avg Return,-0.4033
Short Int Current Month,5324066.0
Short Int Prev Month,5709075.0
Short Int Pct of Float,0.0306566
Days to Cover,2.62568
Float,179.0122
Shares Outstanding,198.705
Institutions Holding Shares,163.0
% Held by Institutions,0.703322
FCF Growth 5yr,-0.07599096751780436
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
