,BOWL
Price/Earnings (TTM),
Price/Sales (TTM),2.28119
Price/Book (MRQ),
Price/Cash Flow (TTM),92.41967
5yr Low,6.96
5yr High,15.28
5yr Avg Return,0.20240000000000002
Short Int Current Month,5027535.0
Short Int Prev Month,8925430.0
Short Int Pct of Float,0.0498412
Days to Cover,8.22534
Float,100.8711
Shares Outstanding,165.6988
Institutions Holding Shares,134.0
% Held by Institutions,0.97921
FCF Growth 5yr,-0.3548925564766347
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
