,BOWL
% Below High,0.13419999999999999
% Held by Institutions,0.9792000000000001
52-Wk Range,['6.96 - 15.28']
Annual Dividend $,
Annual Dividend %,
Ask,13.77
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,
Bid,12.95
Bid Size,200.0
Closing Price,13.23
Day Change $,0.38
Day Change %,0.0296
Day High,13.28
Day Low,12.85
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.54
Ex-dividend Date,No dividend
Historical Volatility,0.6070000000000001
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,2.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,12.85
Shares Outstanding,165.7M
Short Interest,0.049800000000000004
Today's Open,12.94
Volume,439951.0
Volume 10-day Avg,1137236.0
Volume Past Day,(Light)
