,LRN
Price/Earnings (TTM),16.69005
Price/Sales (TTM),0.89729
Price/Book (MRQ),1.95281
Price/Cash Flow (TTM),8.04213
5yr Low,12.72
5yr High,52.84
5yr Avg Return,0.16738333333333333
EPS Growth 5yr,1.943682
Revenue Growth 5yr,0.1367697
Dividend Growth 5yr,
Short Int Current Month,3298780.0
Short Int Prev Month,3909656.0
Short Int Pct of Float,0.0809468
Days to Cover,6.96351
Float,40.82368
Shares Outstanding,43.03157
Institutions Holding Shares,312.0
% Held by Institutions,0.99985
FCF Growth 5yr,-0.2705331425237166
