,LRN
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.256
Growth 1yr High Est,-0.15953307392996097
Growth 1yr Consensus Est,-0.20776653696498049
Growth 2yr Low Est,0.07092473118279563
Growth 2yr High Est,0.11467790747946394
Growth 2yr Consensus Est,0.09280131933112978
Growth 5yr Low Est,0.07092473118279563
Growth 5yr High Est,0.11467790747946394
Growth 5yr Consensus Est,0.09280131933112978
Growth 5yr Actual/Est,0.6215372991301784
Growth 3yr Historic,0.580921052631579
