,LRN
% Above Low,0.3914
% Held by Institutions,0.9998999999999999
52-Wk Range,['25.65 - 47.35']
Annual Dividend $,
Annual Dividend %,
Ask,46.93
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.2
Bid,8.2
Bid Size,100.0
Closing Price,35.69
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.14
Ex-dividend Date,No dividend
Historical Volatility,0.573
Last (size),19.0
Last (time),5:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",16.69
Prev Close,35.69
Shares Outstanding,43.0M
Short Interest,0.0809
Today's Open,
Volume,205075.0
Volume 10-day Avg,350591.0
Volume Past Day,(Light)
